record_id,decision_chain,knowledge_fragment,knowledge_nature,current_location,consumers,conflict_or_risk,risk_level,migration_owner,authoritative_kg_path_or_id,resolution_status,verification_method
"MIS-01","mission","灾害类型到默认任务集合和任务包的映射","领域知识/策略知识","kg/ontology/v1.0.0/policies.json#disaster_vocabulary；kg/ontology/v1.0.0/entities.json#scenario_profiles,task_bundles；services/mission_compiler_service.py；services/scenario_run_service.py","mission compiler；scenario runner；planner","固定灾害子任务数已删除，运行按已编译 task bundle 复核","高","KG","disaster_vocabulary[*].default_task_bundle_id；scenario.flood.default；task_bundle.flood.emergency_vector","已迁移","修改灾害记录 task_kinds 后，任务编译结果应随 KG 改变；删除 task bundle 或 task_kinds 时应 fail closed"
"MIS-02","mission","任务类型、JobType、任务族、输出类型、别名和执行顺序","领域知识","kg/ontology/v1.0.0/policies.json#task_semantics；schemas/task_kind.py","mission compiler；retriever；scenario runner；quality/source services","原多组 Python 映射已改为 registry 查询；TaskKind 枚举仅保留稳定代码符号","中","KG","task_semantics；task.building.fusion；task.road.fusion；task.water.fusion；task.waterways.fusion；task.poi.fusion","已迁移","逐项改变 alias/output_data_type/execution_order，验证消费者结果改变且无需改代码；缺项必须抛 KnowledgeReleaseError"
"MIS-03","mission","非灾害且未识别任务时默认 building","策略知识","kg/ontology/v1.0.0/policies.json#mission_policy.default_direct_task_kind；services/mission_compiler_service.py","mission compiler","默认任务已由版本化 mission policy 解释","中","KG","mission.scope.v1.default_direct_task_kind","已迁移","知识变异测试：改变默认任务政策后编译结果改变；删除政策时拒绝编译"
"MIS-04","mission","面向 water polygon、waterways、POI 的任务指令后缀","策略知识","kg/ontology/v1.0.0/policies.json#task_semantics[*].instruction_suffix；services/mission_compiler_service.py:_task_trigger_content","mission compiler；下游 intent/planner","已从函数分支迁入冻结政策；仍需证明指令文本不是规划的隐式唯一依据","低","KG","task_semantics[*].instruction_suffix","已迁移","改变 instruction_suffix 后 MissionTaskSpec.trigger_content 随之变化；任务 ID、输出类型不应变化"
"MIS-05","mission","场景期望子任务数和运行能力边界","策略知识","services/mission_compiler_service.py；services/scenario_run_service.py:validate_mission_child_specs","scenario runner；scenario report","固定数值 5 已删除，期望数来自编译后的 KG task bundle","高","KG","task_bundle.*.emergency_vector -> CONTAINS -> Task；schema constraint C-REF-CLOSED","已迁移","增删 bundle 成员后无需改代码；scope_source 集成测试覆盖缺失任务和未知能力"
"MIS-06","mission","降级时 provisional、最终结果 supersession 和允许任务范围","策略知识/执行算法","kg/ontology/v1.0.0/entities.json#product_contracts；services/scenario_run_service.py","scenario runner；delivery manifest；evidence trace","任务授权、临时交付与 supersession 开关均由 ProductContract 决定；代码仅执行状态转换","高","KG","contract.product.emergency_vector_bundle.v1.degradation_policy；ALLOWS；SUPERSEDES","已迁移","改变契约 provisional_delivery_allowed/final_output_may_supersede_provisional 后行为改变；禁用时不得生成 provisional/supersession；时间线证据完整"
"MIS-07","mission","规划模式识别、不支持 intent 与能力边界","策略知识/领域知识","kg/ontology/v1.0.0/policies.json#intent_boundary_policy,task_semantics,disaster_vocabulary；agent/intent_resolver.py；services/unsupported_intent_guard.py","intent resolver；preflight；retriever；agent run","原任务/地点/越界关键词分散在 resolver 与 guard；现由冻结词汇和边界政策统一解释，解析机制留代码","高","KG/代码","intent.boundary.v1；task_semantics；disaster_vocabulary","已迁移","改变 task alias/intent rule 后识别同步变化；未知显式灾种与越界请求 fail closed；地点词不得暗中决定任务类型"
"RET-01","retrieval","检索候选的外层加权、缺失项惩罚与 tie-break","策略知识","kg/ontology/v1.0.0/policies.json#decision_policies[retrieval.candidate.v1]；agent/retriever.py:rank_retrieval_candidates","retriever；planner context","权重已迁移并由 registry 读取","中","KG","decision policy:retrieval.candidate.v1","已迁移","仅改变冻结政策权重并验证候选排序变化；缺失政策应 fail closed；tie-break 保持确定性"
"RET-02","retrieval","algorithm_fit、workflow_support 的内部混合、奖励和惩罚","策略知识","kg/ontology/v1.0.0/policies.json#decision_policies[retrieval.candidate.v1]；agent/retriever.py","retriever；planner","内部权重、source fit 和 workflow adjustments 已由 registry 读取","高","KG","retrieval.candidate.v1.algorithm_fit_weights/source_fit/workflow_adjustments","已迁移","对每个内部参数做政策变异测试；排序理由应记录政策 ID、各特征值和变换值"
"RET-03","retrieval","通用 PolicyEngine 权重、缺失值、主指标混合、学习修正范围和 tie-break","策略知识","kg/ontology/v1.0.0/policies.json#decision_policies[decision.candidate.v2]；agent/policy.py:PolicyEngine","agent run planning decisions；source/pattern/algorithm selection","核心参数已由 registry 加载；输入模型仍以代码校验学习修正范围，需与政策边界保持一致","中","KG","decision policy:decision.candidate.v2","已迁移","政策权重/primary_mix/missing 值变异测试；模型校验边界与 learning_adjustment_bounds 一致性测试"
"RET-04","retrieval","repository 对 pattern、algorithm、source 的排序和执行反馈修正","策略知识","kg/inmemory_repository.py；kg/neo4j_repository.py；kg/ontology/v1.0.0/policies.json#runtime_gates.experience_policy","retriever；planner；healing","两类 repository 均消费 pinned experience policy；真实双后端 parity 属 P0-K4 行为验收","高","KG/运行配置","experience_snapshot_hash；C-EXPERIENCE-SEPARATE","已迁移","固定基础 KG 和经验快照，在 memory/Neo4j 比较候选顺序与语义计划哈希；无快照时不得使用进程隐状态"
"RET-05","retrieval","规划完成后的数据源候选重排和 plan 输入源改写","策略知识","services/agent_run_service.py:_build_data_source_selection_decision","executor；input acquisition；decision trace","后置评分已改为 audit-only，并保留 KG-grounded plan 的 source ID","高","KG","PlanningDecision -> SELECTS -> DataSource；decision.candidate.v2；SourceContract","已迁移","只改 KG 源优先级时实际选源随之改变；计划后评分不得原地改写；trace 中选择 ID 与执行输入一致"
"RET-06","retrieval","artifact reuse 的最大年龄、关闭开关和选择机制","运行策略/执行算法","services/artifact_reuse_policy.py；services/agent_run_service.py:GEOFUSION_DISABLE_ARTIFACT_REUSE","retriever；artifact registry；agent run","TTL 和开关属于实验/部署条件，不应伪装成灾害领域本体；但必须进入 frozen manifest","中","运行配置","runtime config:GEOFUSION_DISABLE_ARTIFACT_REUSE；待定义 experiment_manifest.artifact_reuse_policy","归类完成（运行配置）","实验 manifest 固定 TTL/开关；重复运行记录有效配置；改变配置只影响复用，不改变基础 KG semantic_hash"
"SRC-01","source","各任务的数据源角色、几何要求、完整性政策和有序候选","策略知识","kg/ontology/v1.0.0/policies.json#source_role_policies；services/data_requirement_resolver_service.py","data requirement resolver；input acquisition；planner","原 _ROLE_BUILDERS 已由 registry 数据替代；条件表达仍是字符串，需要 K2 约束验证","高","KG","source_role_policies；SourceContract；DataNeed -> REQUIRES_TYPE","已迁移","改变候选 priority 后 DataRequirementPlan 顺序改变；删除 required role 或候选时 fail closed；条件字段通过 schema 校验"
