entity_id,ontology_id,ontology_label,label,description,conceptual_layers,agent_layers,properties_json
algo.assess.building.quality_metrics.v1,algorithm,算法能力,FusionCode Building Quality Metrics,FusionCode Building Quality Metrics 用于 assessment，将 dt.building.height_enriched、dt.building.conflict_optimized 转换为 dt.building.quality_report；工具引用为 fusion_algorithms:_handle_building_quality_metrics，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.assess.building.quality_metrics.v1"", ""algo_name"": ""FusionCode Building Quality Metrics"", ""alternatives"": [], ""input_types"": [""dt.building.height_enriched"", ""dt.building.conflict_optimized""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_quality_metrics"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/models/spatial_optimizer.py:calculate_metrics""}, ""output_type"": ""dt.building.quality_report"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""assessment"", ""tool_ref"": ""fusion_algorithms:_handle_building_quality_metrics"", ""usage_mode"": ""balanced""}"
algo.clip.raster.tile.v1,algorithm,算法能力,Raster Tile Clip Reserved,Raster Tile Clip Reserved 用于 raster_clip，将 dt.raster.building_presence 转换为 dt.raster.building_presence；工具引用为 reserved:raster_tile_clip，基线成功率为 0.0。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": null, ""algo_id"": ""algo.clip.raster.tile.v1"", ""algo_name"": ""Raster Tile Clip Reserved"", ""alternatives"": [], ""input_types"": [""dt.raster.building_presence""], ""metadata"": {""claim_state"": ""reservation_only"", ""runtime_status"": ""reservation_only"", ""selectable_now"": false}, ""output_type"": ""dt.raster.building_presence"", ""stability_score"": null, ""success_rate"": 0.0, ""task_type"": ""raster_clip"", ""tool_ref"": ""reserved:raster_tile_clip"", ""usage_mode"": ""reserved""}"
algo.detect.spatial_conflicts.v1,algorithm,算法能力,FusionCode Spatial Conflict Detection,FusionCode Spatial Conflict Detection 用于 assessment，将 dt.building.fused、dt.water.fused、dt.road.fused 转换为 dt.building.quality_report；工具引用为 fusion_algorithms:_handle_spatial_conflicts，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.detect.spatial_conflicts.v1"", ""algo_name"": ""FusionCode Spatial Conflict Detection"", ""alternatives"": [], ""input_types"": [""dt.building.fused"", ""dt.water.fused"", ""dt.road.fused""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_spatial_conflicts"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""MapTileTool/FusionTool/conflict.py""}, ""output_type"": ""dt.building.quality_report"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""assessment"", ""tool_ref"": ""fusion_algorithms:_handle_spatial_conflicts"", ""usage_mode"": ""balanced""}"
algo.enrich.building.height_from_raster.reserved,algorithm,算法能力,Building Height Enrichment From Raster Reserved,Building Height Enrichment From Raster Reserved 用于 enrichment，将 dt.raster.building_presence 转换为 dt.building.fused；工具引用为 reserved:building_height_from_raster，基线成功率为 0.0。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": null, ""algo_id"": ""algo.enrich.building.height_from_raster.reserved"", ""algo_name"": ""Building Height Enrichment From Raster Reserved"", ""alternatives"": [], ""input_types"": [""dt.raster.building_presence""], ""metadata"": {""claim_state"": ""reservation_only"", ""runtime_status"": ""reservation_only"", ""selectable_now"": false}, ""output_type"": ""dt.building.fused"", ""stability_score"": null, ""success_rate"": 0.0, ""task_type"": ""enrichment"", ""tool_ref"": ""reserved:building_height_from_raster"", ""usage_mode"": ""reserved""}"
algo.enrich.building.height_from_raster.v1,algorithm,算法能力,FusionCode Building Height From Raster,FusionCode Building Height From Raster 用于 enrichment，将 dt.building.conflict_optimized、dt.raster.building_height 转换为 dt.building.height_enriched；工具引用为 fusion_algorithms:_handle_building_height_from_raster，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.enrich.building.height_from_raster.v1"", ""algo_name"": ""FusionCode Building Height From Raster"", ""alternatives"": [], ""input_types"": [""dt.building.conflict_optimized"", ""dt.raster.building_height""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_height_from_raster"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/models/temporal_validator.py:extract_height_parallel""}, ""output_type"": ""dt.building.height_enriched"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""enrichment"", ""tool_ref"": ""fusion_algorithms:_handle_building_height_from_raster"", ""usage_mode"": ""balanced""}"
algo.enrich.building.obm_attributes.v1,algorithm,算法能力,FusionCode OBM Attribute Enrichment,FusionCode OBM Attribute Enrichment 用于 enrichment，将 dt.building.normalized_set 转换为 dt.building.normalized_set；工具引用为 fusion_algorithms:_handle_building_obm_attributes，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.enrich.building.obm_attributes.v1"", ""algo_name"": ""FusionCode OBM Attribute Enrichment"", ""alternatives"": [], ""input_types"": [""dt.building.normalized_set""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_obm_attributes"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/models/obm_enricher.py""}, ""output_type"": ""dt.building.normalized_set"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""enrichment"", ""tool_ref"": ""fusion_algorithms:_handle_building_obm_attributes"", ""usage_mode"": ""balanced""}"
algo.fusion.building.cascade_geometry_priority.v1,algorithm,算法能力,FusionCode Cascaded Geometry Priority Building Fusion,FusionCode Cascaded Geometry Priority Building Fusion 用于 building_fusion，将 dt.building.match_components、dt.building.normalized_set 转换为 dt.building.fused_raw；工具引用为 fusion_algorithms:_handle_building_cascade_fusion，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.fusion.building.cascade_geometry_priority.v1"", ""algo_name"": ""FusionCode Cascaded Geometry Priority Building Fusion"", ""alternatives"": [], ""input_types"": [""dt.building.match_components"", ""dt.building.normalized_set""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_cascade_fusion"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/models/matching_engine.py:build_fusion_rows""}, ""output_type"": ""dt.building.fused_raw"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""building_fusion"", ""tool_ref"": ""fusion_algorithms:_handle_building_cascade_fusion"", ""usage_mode"": ""balanced""}"
algo.fusion.building.multi_source.decomposed.v1,algorithm,算法能力,FusionCode Decomposed Multi-Source Building Fusion,FusionCode Decomposed Multi-Source Building Fusion 用于 building_fusion，将 dt.building.source_set、dt.building.bundle 转换为 dt.building.fused；工具引用为 fusion_algorithms:_handle_building_multi_source_decomposed，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.fusion.building.multi_source.decomposed.v1"", ""algo_name"": ""FusionCode Decomposed Multi-Source Building Fusion"", ""alternatives"": [""algo.fusion.building.safe""], ""input_types"": [""dt.building.source_set"", ""dt.building.bundle""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_building_multi_source_decomposed"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""algorithm_core/main.py decomposed sequence""}, ""output_type"": ""dt.building.fused"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""building_fusion"", ""tool_ref"": ""fusion_algorithms:_handle_building_multi_source_decomposed"", ""usage_mode"": ""throughput""}"
algo.fusion.building.multi_source.reserved,algorithm,算法能力,Multi-Source Building Fusion Reserved,Multi-Source Building Fusion Reserved 用于 building_fusion，将 dt.building.source_set 转换为 dt.building.fused；工具引用为 reserved:multi_source_building_fusion，基线成功率为 0.0。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": null, ""algo_id"": ""algo.fusion.building.multi_source.reserved"", ""algo_name"": ""Multi-Source Building Fusion Reserved"", ""alternatives"": [], ""input_types"": [""dt.building.source_set""], ""metadata"": {""claim_state"": ""reservation_only"", ""runtime_status"": ""reservation_only"", ""selectable_now"": false}, ""output_type"": ""dt.building.fused"", ""stability_score"": null, ""success_rate"": 0.0, ""task_type"": ""building_fusion"", ""tool_ref"": ""reserved:multi_source_building_fusion"", ""usage_mode"": ""reserved""}"
algo.fusion.building.safe,algorithm,算法能力,Building Fusion Safe Fallback,Building Fusion Safe Fallback 用于 building_fusion，将 dt.building.bundle 转换为 dt.building.fused；工具引用为 adapters.building_adapter:run_building_fusion，基线成功率为 0.75。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.79, ""algo_id"": ""algo.fusion.building.safe"", ""algo_name"": ""Building Fusion Safe Fallback"", ""alternatives"": [""algo.fusion.building.v1""], ""input_types"": [""dt.building.bundle""], ""metadata"": {""claim_state"": ""runtime_supported"", ""evidence_basis"": ""conservative_thresholds"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""selection_profile"": ""fallback""}, ""output_type"": ""dt.building.fused"", ""stability_score"": 0.91, ""success_rate"": 0.75, ""task_type"": ""building_fusion"", ""tool_ref"": ""adapters.building_adapter:run_building_fusion"", ""usage_mode"": ""conservative""}"
algo.fusion.building.v1,algorithm,算法能力,Building Fusion Legacy,Building Fusion Legacy 用于 building_fusion，将 dt.building.bundle 转换为 dt.building.fused；工具引用为 adapters.building_adapter:run_building_fusion，基线成功率为 0.92。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.89, ""algo_id"": ""algo.fusion.building.v1"", ""algo_name"": ""Building Fusion Legacy"", ""alternatives"": [""algo.fusion.building.safe""], ""input_types"": [""dt.building.bundle""], ""metadata"": {""claim_state"": ""runtime_supported"", ""evidence_basis"": ""legacy_default_runtime"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""selection_profile"": ""primary""}, ""output_type"": ""dt.building.fused"", ""stability_score"": 0.74, ""success_rate"": 0.92, ""task_type"": ""building_fusion"", ""tool_ref"": ""adapters.building_adapter:run_building_fusion"", ""usage_mode"": ""throughput""}"
algo.fusion.poi.geohash_neighbor_match.v1,algorithm,算法能力,FusionCode POI Geohash Neighbor Match,FusionCode POI Geohash Neighbor Match 用于 poi_fusion，将 dt.poi.bundle 转换为 dt.poi.fused；工具引用为 fusion_algorithms:_handle_poi_geohash_neighbor_match，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.fusion.poi.geohash_neighbor_match.v1"", ""algo_name"": ""FusionCode POI Geohash Neighbor Match"", ""alternatives"": [], ""input_types"": [""dt.poi.bundle""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_poi_geohash_neighbor_match"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""MapTileTool/FusionPOI.py""}, ""output_type"": ""dt.poi.fused"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""poi_fusion"", ""tool_ref"": ""fusion_algorithms:_handle_poi_geohash_neighbor_match"", ""usage_mode"": ""balanced""}"
algo.fusion.poi.v1,algorithm,算法能力,POI Fusion,POI Fusion 用于 poi_fusion，将 dt.poi.bundle 转换为 dt.poi.fused；工具引用为 adapters.poi_adapter:run_poi_fusion，基线成功率为 0.8。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.78, ""algo_id"": ""algo.fusion.poi.v1"", ""algo_name"": ""POI Fusion"", ""alternatives"": [], ""input_types"": [""dt.poi.bundle""], ""metadata"": {""claim_state"": ""bounded_supported"", ""evidence_basis"": ""shared_bundle_runtime"", ""runtime_scope"": ""uploaded_or_task_driven_auto"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""selection_profile"": ""primary""}, ""output_type"": ""dt.poi.fused"", ""stability_score"": 0.86, ""success_rate"": 0.8, ""task_type"": ""poi_fusion"", ""tool_ref"": ""adapters.poi_adapter:run_poi_fusion"", ""usage_mode"": ""conservative""}"
algo.fusion.road.conflation.v7,algorithm,算法能力,FusionCode V7 Road Conflation,FusionCode V7 Road Conflation 用于 road_fusion，将 dt.road.bundle 转换为 dt.road.fused；工具引用为 fusion_algorithms:_handle_road_conflation_v7，基线成功率为 0.82。,data_algorithm_task_capability,reasoning_planning;audit_evolution,"{""accuracy_score"": 0.86, ""algo_id"": ""algo.fusion.road.conflation.v7"", ""algo_name"": ""FusionCode V7 Road Conflation"", ""alternatives"": [], ""input_types"": [""dt.road.bundle""], ""metadata"": {""algorithm_family"": ""fusioncode_decomposed"", ""claim_state"": ""runtime_supported"", ""handler_name"": ""_handle_road_conflation_v7"", ""runtime_status"": ""runtime_candidate"", ""selectable_now"": true, ""source_file"": ""Algorithm/road_fusion_optimized_v7.py""}, ""output_type"": ""dt.road.fused"", ""stability_score"": 0.82, ""success_rate"": 0.82, ""task_type"": ""road_fusion"", ""tool_ref"": ""fusion_algorithms:_handle_road_conflation_v7"", ""usage_mode"": ""balanced""}"
