ontology_id,ontology_label,field_name,data_types,required,description
algorithm,算法能力,accuracy_score,null;number,False,算法精度评分。
algorithm,算法能力,algo_id,string,True,算法的稳定标识。
algorithm,算法能力,algo_name,string,True,算法名称。
algorithm,算法能力,alternatives,array,True,可替代算法标识。
algorithm,算法能力,input_types,array,True,算法接受的输入数据类型。
algorithm,算法能力,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
algorithm,算法能力,output_type,string,True,要求或模式策略对应的输出数据类型。
algorithm,算法能力,stability_score,null;number,False,算法稳定性评分。
algorithm,算法能力,success_rate,number,True,算法或工作流的基线成功率。
algorithm,算法能力,task_type,string,True,算法解决的任务类型。
algorithm,算法能力,tool_ref,string,True,算法对应的工具或执行实现引用。
algorithm,算法能力,usage_mode,string,True,算法的默认使用模式。
data_need,数据需求,data_type_id,string,True,数据需求引用的数据类型标识。
data_need,数据需求,description,string,True,实体的人类可读说明。
data_need,数据需求,direction,string,True,数据相对任务的输入或输出方向。
data_need,数据需求,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
data_need,数据需求,need_id,string,True,数据需求的稳定标识。
data_need,数据需求,required,boolean,True,该项是否为必需条件。
data_need,数据需求,task_id,string,True,任务的稳定标识。
data_source,数据源,disaster_types,array,True,适用的灾种集合。
data_source,数据源,freshness_category,string,True,数据新鲜度类别。
data_source,数据源,freshness_hours,integer,True,数据的新鲜度时间窗口。
data_source,数据源,freshness_score,number,True,数据新鲜度评分。
data_source,数据源,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
data_source,数据源,quality_score,number,True,数据源质量评分。
data_source,数据源,quality_tier,string,True,数据源质量等级。
data_source,数据源,source_id,string,True,数据源的稳定标识。
data_source,数据源,source_kind,string,True,数据源的接入类别。
data_source,数据源,source_name,string,True,数据源名称。
data_source,数据源,supported_geometry_types,array,True,数据源支持的几何类型。
data_source,数据源,supported_job_types,array,True,数据源支持的作业类型。
data_source,数据源,supported_types,array,True,数据源可提供的数据类型。
data_type,数据类型,description,string,True,实体的人类可读说明。
data_type,数据类型,geometry_type,string,True,数据的几何或结构类型。
data_type,数据类型,theme,string,True,数据表达的业务主题。
data_type,数据类型,type_id,string,True,数据类型的稳定标识。
durable_learning_summary,持久学习摘要,entity_kind,str,True,学习摘要对应的实体本体类型。
durable_learning_summary,持久学习摘要,entity_id,str,True,学习摘要对应的实体标识。
durable_learning_summary,持久学习摘要,job_type,JobType,True,适用的作业类型。
durable_learning_summary,持久学习摘要,disaster_type,Optional[str],False,disaster_type 字段，记录持久学习摘要的结构化属性。
durable_learning_summary,持久学习摘要,total_runs,int,False,聚合的运行次数。
durable_learning_summary,持久学习摘要,success_count,int,False,成功运行次数。
durable_learning_summary,持久学习摘要,failure_count,int,False,失败运行次数。
durable_learning_summary,持久学习摘要,repaired_count,int,False,经过修复的运行次数。
durable_learning_summary,持久学习摘要,last_run_at,Optional[str],False,最近一次运行时间。
durable_learning_summary,持久学习摘要,last_failure_reason,Optional[str],False,最近一次失败原因。
durable_learning_summary,持久学习摘要,condition_key,str,False,灾种、作业类型等条件组合的稳定键。
durable_learning_summary,持久学习摘要,time_decayed_score,float,False,考虑时间衰减后的综合评分。
durable_learning_summary,持久学习摘要,quality_gate_pass_rate,float,False,质量门通过率。
durable_learning_summary,持久学习摘要,avg_latency_seconds,float,False,平均执行时延。
durable_learning_summary,持久学习摘要,recent_success_rate,float,False,近期成功率。
durable_learning_summary,持久学习摘要,trend,str,False,运行表现趋势。
durable_learning_summary,持久学习摘要,adjustment,float,False,反馈给规划排序的调整量。
output_requirement,输出要求,job_type,string,True,适用的作业类型。
output_requirement,输出要求,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
output_requirement,输出要求,optional_fields,array,True,允许存在但非必需的输出字段。
output_requirement,输出要求,output_type,string,True,要求或模式策略对应的输出数据类型。
output_requirement,输出要求,preferred_fields,array,True,优先保留的输出字段。
output_requirement,输出要求,required_fields,array,True,必须存在的输出字段。
output_requirement,输出要求,requirement_id,string,True,输出要求的稳定标识。
output_requirement,输出要求,schema_policy_id,string,True,约束输出字段的模式策略标识。
output_schema_policy,输出模式策略,compatibility_basis,string,True,输出兼容性的判断依据。
output_schema_policy,输出模式策略,job_type,string,True,适用的作业类型。
output_schema_policy,输出模式策略,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
output_schema_policy,输出模式策略,optional_fields,array,True,允许存在但非必需的输出字段。
output_schema_policy,输出模式策略,output_type,string,True,要求或模式策略对应的输出数据类型。
output_schema_policy,输出模式策略,policy_id,string,True,策略的稳定标识。
output_schema_policy,输出模式策略,rename_hints,object,True,字段重命名提示。
output_schema_policy,输出模式策略,required_fields,array,True,必须存在的输出字段。
output_schema_policy,输出模式策略,retention_mode,string,True,输出字段的保留模式。
parameter_spec,参数规范,algo_id,string,True,算法的稳定标识。
parameter_spec,参数规范,choices,null,False,参数允许的离散选项。
parameter_spec,参数规范,conditional_defaults,array,True,特定条件下采用的默认值。
parameter_spec,参数规范,default,array;boolean;integer;null;number;string,False,参数默认值。
parameter_spec,参数规范,default_provenance,object,True,默认值的来源和证据。
parameter_spec,参数规范,description,string,True,实体的人类可读说明。
parameter_spec,参数规范,key,string,True,参数在执行接口中的键名。
parameter_spec,参数规范,label,string,True,参数的人类可读名称。
parameter_spec,参数规范,max_value,null;number,False,参数允许的最大值。
parameter_spec,参数规范,min_value,null;number,False,参数允许的最小值。
parameter_spec,参数规范,optimization_tags,array,True,参数参与优化的目标标签。
parameter_spec,参数规范,order,integer,True,参数在界面或配置中的展示顺序。
parameter_spec,参数规范,param_type,string,True,参数值类型。
parameter_spec,参数规范,required,boolean,True,该项是否为必需条件。
parameter_spec,参数规范,spec_id,string,True,参数规范的稳定标识。
parameter_spec,参数规范,tunable,boolean,True,参数是否允许由规划或优化过程调整。
parameter_spec,参数规范,unit,null;string,False,参数单位。
product_contract,产品契约,component_contract_ids,array,True,组合契约包含的子产品契约标识。
product_contract,产品契约,contract_id,string,True,产品契约的稳定标识。
product_contract,产品契约,contract_name,string,True,产品契约名称。
product_contract,产品契约,degradation_policy,object,True,部分满足或降级交付时的规则。
product_contract,产品契约,delivery_policy,object,True,机器可读交付物、临时产物和替代关系规则。
product_contract,产品契约,disaster_types,array,True,适用的灾种集合。
product_contract,产品契约,evidence_requirements,array,True,产品交付需要保留的证据类型。
product_contract,产品契约,gap_declaration_policy,object,True,未满足要求时生成缺口声明的规则。
product_contract,产品契约,layer_requirements,array,True,产品所需图层、关键性和输出要求映射。
product_contract,产品契约,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
product_contract,产品契约,output_requirement_ids,array,True,契约必须满足的输出要求标识。
product_contract,产品契约,product_type,string,True,契约约束的产品类型。
product_contract,产品契约,qos_policy_ids,array,True,契约采用的 QoS 策略标识。
product_contract,产品契约,quality_gates,array,True,产品交付前必须通过或解释的质量门。
product_contract,产品契约,repair_strategy_ids,array,True,契约允许采用的修复策略标识。
product_contract,产品契约,response_phases,array,True,适用的应急响应阶段。
product_contract,产品契约,satisfaction_states,array,True,产品契约允许的满足状态集合。
product_contract,产品契约,scenario_profile_ids,array,True,契约适用的场景处境标识。
product_contract,产品契约,task_bundle_ids,array,True,负责组织契约执行的任务包标识。
product_contract,产品契约,task_ids,array,True,契约要求执行的任务标识。
qos_policy,服务质量策略,max_latency_seconds,integer,True,允许的最大时延，单位为秒。
qos_policy,服务质量策略,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
qos_policy,服务质量策略,min_success_rate,number,True,允许的最小成功率。
qos_policy,服务质量策略,policy_id,string,True,策略的稳定标识。
qos_policy,服务质量策略,policy_name,string,True,策略名称。
qos_policy,服务质量策略,priority,object,True,质量维度权重。
repair_strategy,修复策略,applies_to_task_ids,array,True,策略适用的任务标识。
repair_strategy,修复策略,from_algorithm_id,null,False,被替换的算法标识。
repair_strategy,修复策略,metadata,object,True,扩展元数据，承载运行状态、证据引用或领域补充信息。
repair_strategy,修复策略,reason_codes,array,True,触发策略的失败原因码。
repair_strategy,修复策略,strategy_id,string,True,修复策略的稳定标识。
repair_strategy,修复策略,strategy_name,string,True,修复策略名称。
